Time	S2	
0.000251463	0.121771	
0.000265138	0.1218	
0.000279557	0.121829	
0.00029476	0.12186	
0.000310789	0.121892	
0.00032769	0.121925	
0.00034551	0.12196	
0.000364299	0.121997	
0.000384111	0.122035	
0.000404999	0.122075	
0.000427023	0.122116	
0.000450245	0.12216	
0.00047473	0.122205	
0.000500547	0.122251	
0.000527767	0.1223	
0.000556468	0.122351	
0.000586729	0.122403	
0.000618636	0.122457	
0.000652278	0.122513	
0.00068775	0.122571	
0.000725151	0.122631	
0.000764586	0.122693	
0.000806165	0.122756	
0.000850005	0.122822	
0.000896229	0.122889	
0.000944967	0.122958	
0.000996356	0.123028	
0.00105054	0.1231	
0.00110767	0.123173	
0.00116791	0.123247	
0.00123142	0.123322	
0.00129838	0.123398	
0.00136899	0.123474	
0.00144344	0.12355	
0.00152193	0.123626	
0.0016047	0.123702	
0.00169196	0.123777	
0.00178398	0.12385	
0.00188099	0.123922	
0.00198328	0.123991	
0.00209113	0.124057	
0.00220485	0.12412	
0.00232476	0.124178	
0.00245118	0.124231	
0.00258448	0.124279	
0.00272502	0.12432	
0.00287321	0.124353	
0.00302946	0.124378	
0.00319421	0.124394	
0.00336792	0.1244	
0.00355107	0.124394	
0.00374418	0.124376	
0.00394779	0.124344	
0.00416248	0.124298	
0.00438884	0.124236	
0.00462751	0.124158	
0.00487916	0.124062	
0.00514449	0.123948	
0.00542426	0.123814	
0.00571924	0.123661	
0.00603025	0.123486	
0.00635819	0.12329	
0.00670395	0.123072	
0.00706852	0.122832	
0.00745292	0.122569	
0.00785822	0.122284	
0.00828556	0.121977	
0.00873614	0.121649	
0.00921122	0.121299	
0.00971214	0.120929	
0.0102403	0.120539	
0.0107972	0.120132	
0.0113843	0.119708	
0.0120034	0.119268	
0.0126562	0.118816	
0.0133445	0.118352	
0.0140701	0.117878	
0.0148353	0.117397	
0.0156421	0.116911	
0.0164927	0.116421	
0.0173896	0.115931	
0.0183353	0.115442	
0.0193323	0.114957	
0.0203837	0.114477	
0.0214922	0.114005	
0.0226609	0.113543	
0.0238933	0.113093	
0.0251926	0.112656	
0.0265626	0.112234	
0.0280071	0.11183	
0.0295302	0.111444	
0.0311361	0.111078	
0.0328293	0.110734	
0.0346146	0.110413	
0.036497	0.110115	
0.0384817	0.109843	
0.0405744	0.109597	
0.0427809	0.109378	
0.0451074	0.109187	
0.0475604	0.109025	
0.0501468	0.108892	
0.0528738	0.108788	
0.0557491	0.108715	
0.0587809	0.108672	
0.0619774	0.10866	
0.0653478	0.108679	
0.0689015	0.108727	
0.0726485	0.108806	
0.0765992	0.108914	
0.0807648	0.109052	
0.0851569	0.109218	
0.0897878	0.109412	
0.0946706	0.109633	
0.0998189	0.10988	
0.105247	0.110153	
0.110971	0.110449	
0.117005	0.110769	
0.123368	0.111111	
0.130077	0.111475	
0.137151	0.111859	
0.144609	0.112263	
0.152473	0.112685	
0.160765	0.113125	
0.169508	0.113583	
0.178726	0.114056	
0.188445	0.114546	
0.198693	0.11505	
0.209498	0.115569	
0.220891	0.116101	
0.232903	0.116646	
0.245569	0.117204	
0.258923	0.117772	
0.273004	0.118351	
0.28785	0.11894	
0.303504	0.119537	
0.320009	0.12014	
0.337411	0.12075	
0.35576	0.121364	
0.375107	0.121981	
0.395505	0.122599	
0.417013	0.123217	
0.439691	0.123833	
0.463602	0.124444	
0.488813	0.12505	
0.515396	0.125647	
0.543424	0.126235	
0.572976	0.12681	
0.604135	0.127372	
0.636988	0.127917	
0.671629	0.128445	
0.708153	0.128952	
0.746663	0.129439	
0.787267	0.129902	
0.83008	0.130341	
0.875221	0.130755	
0.922816	0.131142	
0.973	0.131503	
1.02591	0.131836	
1.0817	0.132142	
1.14053	0.13242	
1.20255	0.132671	
1.26795	0.132897	
1.3369	0.133097	
1.4096	0.133273	
1.48626	0.133426	
1.56708	0.133558	
1.6523	0.133671	
1.74216	0.133765	
1.8369	0.133845	
1.93679	0.13391	
2.04212	0.133962	
2.15317	0.134004	
2.27026	0.134038	
2.39372	0.134063	
2.52389	0.134083	
2.66115	0.134098	
2.80586	0.134108	
2.95845	0.134116	
3.11933	0.134122	
3.28897	0.134126	
3.46783	0.134128	
3.65641	0.13413	
3.85525	0.134131	
4.0649	0.134132	
4.28596	0.134132	
4.51904	0.134132	
4.76479	0.134132	
5.0239	0.134132	
5.29711	0.134133	
5.58517	0.134133	
5.8889	0.134133	
6.20914	0.134133	
6.54681	0.134133	
6.90283	0.134133	
7.27821	0.134133	
7.67401	0.134133	
8.09134	0.134133	
8.53135	0.134133	
8.9953	0.134133	
9.48447	0.134133	
10.0003	0.134133	
